catalog_index,group_name,clean_part_name,material_name
1,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 30606_001_C01_1_LID_FOAM__DROID__P2 Split_Body__110_,32909_005_A01_1_LID_KIT__DROID__P2 30606_001_C01_1_LID_FOAM__DROID__P2 Split_Body__110_,Split_Body__110_Material0
2,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 27855_000_B02_1_STIFFENER__10_PIN__FLEX_CONNECTOR Linked_Body__1_,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 27855_000_B02_1_STIFFENER__10_PIN__FLEX_CONNECTOR Linked_Body__1_,Linked_Body__1_Material0
3,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 27855_000_B02_1_STIFFENER__10_PIN__FLEX_CONNECTOR Linked_Body__2_,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 27855_000_B02_1_STIFFENER__10_PIN__FLEX_CONNECTOR Linked_Body__2_,Linked_Body__2_Material0
4,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 27864_000_B01_1_CONN_HOUSING_AND_GASKET_ASSM__FLEX__10_PIN 27861_000_C01_1_HOUSING__10_PIN__FLEX_CONNECTOR Linked_Body__1__1,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 27864_000_B01_1_CONN_HOUSING_AND_GASKET_ASSM__FLEX__10_PIN 27861_000_C01_1_HOUSING__10_PIN__FLEX_CONNECTOR Linked_Body__1__1,Linked_Body__1__1Material0
5,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 27864_000_B01_1_CONN_HOUSING_AND_GASKET_ASSM__FLEX__10_PIN 27862_000_C01_1_HOUSING_PSA__10_PIN__FLEX_CONNECTOR Extrude__4_,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 27864_000_B01_1_CONN_HOUSING_AND_GASKET_ASSM__FLEX__10_PIN 27862_000_C01_1_HOUSING_PSA__10_PIN__FLEX_CONNECTOR Extrude__4_,Extrude__4_Material0
6,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 27864_000_B01_1_CONN_HOUSING_AND_GASKET_ASSM__FLEX__10_PIN 27862_000_C01_1_HOUSING_PSA__10_PIN__FLEX_CONNECTOR Linked_Body__1__2,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 27864_000_B01_1_CONN_HOUSING_AND_GASKET_ASSM__FLEX__10_PIN 27862_000_C01_1_HOUSING_PSA__10_PIN__FLEX_CONNECTOR Linked_Body__1__2,Linked_Body__1__2Material0
7,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 27864_000_B01_1_CONN_HOUSING_AND_GASKET_ASSM__FLEX__10_PIN 27863_000_B02_1_GASKET__10_PIN__FLEX_CONNECTOR Linked_Body__1__3,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 27864_000_B01_1_CONN_HOUSING_AND_GASKET_ASSM__FLEX__10_PIN 27863_000_B02_1_GASKET__10_PIN__FLEX_CONNECTOR Linked_Body__1__3,Linked_Body__1__3Material0
8,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 27864_000_B01_1_CONN_HOUSING_AND_GASKET_ASSM__FLEX__10_PIN 27863_000_B02_1_GASKET__10_PIN__FLEX_CONNECTOR Linked_Body__2__1,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 27864_000_B01_1_CONN_HOUSING_AND_GASKET_ASSM__FLEX__10_PIN 27863_000_B02_1_GASKET__10_PIN__FLEX_CONNECTOR Linked_Body__2__1,Linked_Body__2__1Material0
9,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 30602_000_B01_1_FLEX_PCBA__LID_FLEX_HARNESS__DROID__P2 Linked_Body__4_,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 30602_000_B01_1_FLEX_PCBA__LID_FLEX_HARNESS__DROID__P2 Linked_Body__4_,Linked_Body__4_Material0
10,Droid_Export_Attempt_8 32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 30602_000_B01_1_FLEX_PCBA__LID_FLEX_HARNESS__DROID__P2 Linked_Body__1__4,32909_005_A01_1_LID_KIT__DROID__P2 32454_001_B01_1_LID_FLEX_HARNESS__DROID__P2 30602_000_B01_1_FLEX_PCBA__LID_FLEX_HARNESS__DROID__P2 Linked_Body__1__4,Linked_Body__1_Material0
