part_name,occurrences
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_1,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_10,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_11,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_12,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_13,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_14,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_15,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_16,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_17,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_18,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_19,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_2,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_20,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_21,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_22,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_23,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_24,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_25,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_26,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_27,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_28,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_29,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_3,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_30,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_31,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_32,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_4,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_5,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_6,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_7,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_8,1
00785_000_D05_1_SCREW__M2_5_X_6MM__BHS_9,1
00786_000_D04_1_COTS__M2_5__12MM__BHS,1
01001_000_A02_1_M2_5_LONG_HEAT_SET_INSERT,1
01001_000_A02_1_M2_5_LONG_HEAT_SET_INSERT_1,1
01001_000_A02_1_M2_5_LONG_HEAT_SET_INSERT_2,1
01001_000_A02_1_M2_5_LONG_HEAT_SET_INSERT_3,1
01001_000_A02_1_M2_5_LONG_HEAT_SET_INSERT_4,1
01001_000_A02_1_M2_5_LONG_HEAT_SET_INSERT_5,1
01001_000_A02_1_M2_5_LONG_HEAT_SET_INSERT_6,1
01001_000_A02_1_M2_5_LONG_HEAT_SET_INSERT_7,1
01001_000_A02_1_M2_5_LONG_HEAT_SET_INSERT_8,1
0105701_000_A01_1_DRY_CELL_ARRAY__BATTERY__DROID__P2,5
0108477_000_A01_2_O_RING__BUNA_N_70A,1
0110626_000_A01_1_RIGHT_PTFE_DOOR_TAPE__DROID__P2,1
0110641_000_A01_1_LEFT_PTFE_DOOR_TAPE__DROID__P2,1
0113129_001_A01_1_UNWELDED_BATTERY__DROID__P2,320
0118732_000_A01_1_TOP_SIDE_BOARD_COMPONENTS__PCBA__SERVO__AIRCRAFT__P2,88
0118733_000_A01_1_BOTTOM_SIDE_BOARD_COMPONENTS__PCBA__SERVO__AIRCRAFT__P2,113
0125032_000_A01_1_WELDED_BATTERY__DROID__P2,320
01329_000_A02_1_GORE_VENT,1
